feature	feature_kind	feature_label	feature_display	primary_theme	primary_theme_label	secondary_theme	expected_aging_direction	expected_direction_basis	confidence	evidence_source	evidence_citations	biological_role	interpretation_caution
prop__antigen_presenting	prop	antigen_presenting	antigen presenting	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	antigen presenting mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__bowman_gland	prop	bowman_gland	bowman gland	bowman_gland_secretory	Bowman gland/secretory		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	bowman gland mapped to bowman gland/secretory.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__cd56bright	prop	cd56bright	cd56bright	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cd56bright mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__cm_cd4	prop	cm_cd4	cm cd4	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cm cd4 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__classical	prop	classical	classical	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	classical mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__club	prop	club	club	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	club mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__complement_high	prop	complement_high	complement high	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	complement high mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__cycling_hbc	prop	cycling_hbc	cycling hbc	cycling_proliferation	Cycling/proliferation		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:42228282	cycling hbc mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__cytotoxic_cd4	prop	cytotoxic_cd4	cytotoxic cd4	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cytotoxic cd4 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__cytotoxic_cd8	prop	cytotoxic_cd8	cytotoxic cd8	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cytotoxic cd8 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
